source_path,artifact_type,provider_or_source,acquisition_method,ticker,date_range,price_adjustment_status,corporate_action_fields,sha256,tracking_status,boundary_classification,release_canonical_status,manifest_references,reports_or_figures,validator_dependencies,redistribution_status,required_action
data/AAPL.csv,market_data_input,Yahoo Finance via yfinance,historical optional acquisition; exact acquisition metadata incomplete,AAPL,2020-01-02:2025-12-30,legacy six-column OHLCV; raw/adjusted provenance incomplete,none,e49cd4203cf2ef6fe0d5e24279721ffe05b11c4821980042892248f5c4559ecb,removed_from_current_tree;present_in_history,historical_third_party,forbidden,manifests/attribution_equal_weight.json;manifests/portfolio_equal_weight.json;manifests/portfolio_inverse_volatility.json;manifests/portfolio_momentum_top_n.json;manifests/selection_risk_combined.json;manifests/selection_risk_combined_high_cost.json;manifests/selection_risk_combined_zero_cost.json;manifests/selection_risk_ma.json;manifests/selection_risk_macd.json;manifests/selection_risk_rsi.json;manifests/selection_risk_volatility_breakout.json;manifests/single_aapl_ma.json;manifests/statistics_equal_weight.json,baseline results/ descendants,former reproducibility input hash verification,unverified,completed: removed from current tree and public canonical boundary
data/MSFT.csv,market_data_input,Yahoo Finance via yfinance,historical optional acquisition; exact acquisition metadata incomplete,MSFT,2020-01-02:2025-12-30,legacy six-column OHLCV; raw/adjusted provenance incomplete,none,acd37f190cac9757cffa56970cd631cc6caed5f62d902567cfae9b62a5df46b8,removed_from_current_tree;present_in_history,historical_third_party,forbidden,manifests/attribution_equal_weight.json;manifests/portfolio_equal_weight.json;manifests/portfolio_inverse_volatility.json;manifests/portfolio_momentum_top_n.json;manifests/selection_risk_combined.json;manifests/selection_risk_combined_high_cost.json;manifests/selection_risk_combined_zero_cost.json;manifests/selection_risk_ma.json;manifests/selection_risk_macd.json;manifests/selection_risk_rsi.json;manifests/selection_risk_volatility_breakout.json;manifests/single_aapl_ma.json;manifests/statistics_equal_weight.json,baseline results/ descendants,former reproducibility input hash verification,unverified,completed: removed from current tree and public canonical boundary
data/SPY.csv,market_data_input,Yahoo Finance via yfinance,historical optional acquisition; exact acquisition metadata incomplete,SPY,2020-01-02:2025-12-30,legacy six-column OHLCV; raw/adjusted provenance incomplete,none,96638f4d7acc232c410ab909fd2449720cd6c30c6c7fc76676d8478dcc54c9ca,removed_from_current_tree;present_in_history,historical_third_party,forbidden,manifests/attribution_equal_weight.json;manifests/portfolio_equal_weight.json;manifests/portfolio_inverse_volatility.json;manifests/portfolio_momentum_top_n.json;manifests/selection_risk_combined.json;manifests/selection_risk_combined_high_cost.json;manifests/selection_risk_combined_zero_cost.json;manifests/selection_risk_ma.json;manifests/selection_risk_macd.json;manifests/selection_risk_rsi.json;manifests/selection_risk_volatility_breakout.json;manifests/single_aapl_ma.json;manifests/statistics_equal_weight.json,baseline results/ descendants,former reproducibility input hash verification,unverified,completed: removed from current tree and public canonical boundary
data/TSLA.csv,market_data_input,Yahoo Finance via yfinance,historical optional acquisition; exact acquisition metadata incomplete,TSLA,2020-01-02:2025-12-30,legacy six-column OHLCV; raw/adjusted provenance incomplete,none,d8855157e58a7f60826f73285587e4b336a2d430235601ecb7b064d8584f33f0,removed_from_current_tree;present_in_history,historical_third_party,forbidden,manifests/attribution_equal_weight.json;manifests/portfolio_equal_weight.json;manifests/portfolio_inverse_volatility.json;manifests/portfolio_momentum_top_n.json;manifests/selection_risk_combined.json;manifests/selection_risk_combined_high_cost.json;manifests/selection_risk_combined_zero_cost.json;manifests/selection_risk_ma.json;manifests/selection_risk_macd.json;manifests/selection_risk_rsi.json;manifests/selection_risk_volatility_breakout.json;manifests/single_aapl_ma.json;manifests/statistics_equal_weight.json,baseline results/ descendants,former reproducibility input hash verification,unverified,completed: removed from current tree and public canonical boundary
data/BTC-USD.csv,market_data_input,Yahoo Finance via yfinance,historical optional acquisition; exact acquisition metadata incomplete,BTC-USD,2020-01-01:2025-12-30,legacy six-column OHLCV; raw/adjusted provenance incomplete,none,fac9fbcee758363bba73a7b02acf2b75529c6c4df50f1a3109896076bb971d60,removed_from_current_tree;present_in_history,historical_third_party,forbidden,manifests/attribution_equal_weight.json;manifests/portfolio_equal_weight.json;manifests/portfolio_inverse_volatility.json;manifests/portfolio_momentum_top_n.json;manifests/selection_risk_combined.json;manifests/selection_risk_combined_high_cost.json;manifests/selection_risk_combined_zero_cost.json;manifests/selection_risk_ma.json;manifests/selection_risk_macd.json;manifests/selection_risk_rsi.json;manifests/selection_risk_volatility_breakout.json;manifests/single_aapl_ma.json;manifests/statistics_equal_weight.json,baseline results/ descendants,former reproducibility input hash verification,unverified,completed: removed from current tree and public canonical boundary
results/AAPL_MACD_Momentum_equity_curve.csv,historical_derived_result,engine output derived from historical Yahoo-origin inputs,generated by prior engine revision,mixed_or_encoded_in_artifact,artifact_specific,inherited_from_historical_experiment,artifact_specific,5be722342b8ecbbf20d6ea878a59d8978a69ab9d33b0ef194f721ef52ea48d15,removed_from_current_tree;present_in_history,historical_empirical_derivative,not_release_canonical,legacy package inventory where applicable,results/AAPL_MACD_Momentum_equity_curve.csv,former regression/result validators,not_asserted,completed: removed from tracked release tree; summaries retained only as qualified documentation
results/AAPL_MACD_Momentum_performance_summary.csv,historical_derived_result,engine output derived from historical Yahoo-origin inputs,generated by prior engine revision,mixed_or_encoded_in_artifact,artifact_specific,inherited_from_historical_experiment,artifact_specific,7b2d9b1efe3a09f2986e30bd6c9ec6993f6266d879d52de6d6b741c9d0d59bd0,removed_from_current_tree;present_in_history,historical_empirical_derivative,not_release_canonical,legacy package inventory where applicable,results/AAPL_MACD_Momentum_performance_summary.csv,former regression/result validators,not_asserted,completed: removed from tracked release tree; summaries retained only as qualified documentation
results/AAPL_MACD_Momentum_trades.csv,historical_derived_result,engine output derived from historical Yahoo-origin inputs,generated by prior engine revision,mixed_or_encoded_in_artifact,artifact_specific,inherited_from_historical_experiment,artifact_specific,74a93ca1f7241f94e490ff1369c0d1b6cd2613473cfdbf5c7868eea0bb0abc06,removed_from_current_tree;present_in_history,historical_empirical_derivative,not_release_canonical,legacy package inventory where applicable,results/AAPL_MACD_Momentum_trades.csv,former regression/result validators,not_asserted,completed: removed from tracked release tree; summaries retained only as qualified documentation
results/AAPL_MA_Cross_equity_curve.csv,historical_derived_result,engine output derived from historical Yahoo-origin inputs,generated by prior engine revision,mixed_or_encoded_in_artifact,artifact_specific,inherited_from_historical_experiment,artifact_specific,a386d7991e3798eacdf965a71d304d88a0f8bbe8aaac4459cc66c02d6323da9b,removed_from_current_tree;present_in_history,historical_empirical_derivative,not_release_canonical,legacy package inventory where applicable,results/AAPL_MA_Cross_equity_curve.csv,former regression/result validators,not_asserted,completed: removed from tracked release tree; summaries retained only as qualified documentation
results/AAPL_MA_Cross_performance_summary.csv,historical_derived_result,engine output derived from historical Yahoo-origin inputs,generated by prior engine revision,mixed_or_encoded_in_artifact,artifact_specific,inherited_from_historical_experiment,artifact_specific,39131e6dd05022ec0124d4f82a991768cc3ea5fece845e45ac859d342ef1bc29,removed_from_current_tree;present_in_history,historical_empirical_derivative,not_release_canonical,legacy package inventory where applicable,results/AAPL_MA_Cross_performance_summary.csv,former regression/result validators,not_asserted,completed: removed from tracked release tree; summaries retained only as qualified documentation
results/AAPL_MA_Cross_trades.csv,historical_derived_result,engine output derived from historical Yahoo-origin inputs,generated by prior engine revision,mixed_or_encoded_in_artifact,artifact_specific,inherited_from_historical_experiment,artifact_specific,7b5b03a061ee1bc6f916c0e6adaa6b091a8afc76937b61489c8114725d28a1cd,removed_from_current_tree;present_in_history,historical_empirical_derivative,not_release_canonical,legacy package inventory where applicable,results/AAPL_MA_Cross_trades.csv,former regression/result validators,not_asserted,completed: removed from tracked release tree; summaries retained only as qualified documentation
results/AAPL_RSI_Mean_Reversion_equity_curve.csv,historical_derived_result,engine output derived from historical Yahoo-origin inputs,generated by prior engine revision,mixed_or_encoded_in_artifact,artifact_specific,inherited_from_historical_experiment,artifact_specific,9d40b9df910575d83d636ab17095b93587c533937ae00d18f95566e5b4958d7b,removed_from_current_tree;present_in_history,historical_empirical_derivative,not_release_canonical,legacy package inventory where applicable,results/AAPL_RSI_Mean_Reversion_equity_curve.csv,former regression/result validators,not_asserted,completed: removed from tracked release tree; summaries retained only as qualified documentation
results/AAPL_RSI_Mean_Reversion_performance_summary.csv,historical_derived_result,engine output derived from historical Yahoo-origin inputs,generated by prior engine revision,mixed_or_encoded_in_artifact,artifact_specific,inherited_from_historical_experiment,artifact_specific,328d580bd615aa8187c780da9f4c87f9cd386b8439ae103c764f3f150a556112,removed_from_current_tree;present_in_history,historical_empirical_derivative,not_release_canonical,legacy package inventory where applicable,results/AAPL_RSI_Mean_Reversion_performance_summary.csv,former regression/result validators,not_asserted,completed: removed from tracked release tree; summaries retained only as qualified documentation
results/AAPL_RSI_Mean_Reversion_trades.csv,historical_derived_result,engine output derived from historical Yahoo-origin inputs,generated by prior engine revision,mixed_or_encoded_in_artifact,artifact_specific,inherited_from_historical_experiment,artifact_specific,3ed0027433b3dafb776fff68524b1fc35f9624c814b5ce4ff26618869e1acd15,removed_from_current_tree;present_in_history,historical_empirical_derivative,not_release_canonical,legacy package inventory where applicable,results/AAPL_RSI_Mean_Reversion_trades.csv,former regression/result validators,not_asserted,completed: removed from tracked release tree; summaries retained only as qualified documentation
results/BTC_USD_MACD_Momentum_equity_curve.csv,historical_derived_result,engine output derived from historical Yahoo-origin inputs,generated by prior engine revision,mixed_or_encoded_in_artifact,artifact_specific,inherited_from_historical_experiment,artifact_specific,ec3952613940d39d4b5f21bf1855893f2bb42b5a7500ef42ba84591e6ba7676b,removed_from_current_tree;present_in_history,historical_empirical_derivative,not_release_canonical,legacy package inventory where applicable,results/BTC_USD_MACD_Momentum_equity_curve.csv,former regression/result validators,not_asserted,completed: removed from tracked release tree; summaries retained only as qualified documentation
